investor	('investor',)
predictions~statements	('statements~predictions',)
forward-looking~predictions~statements	('forward-looking~statements~predictions',)
forward-looking~predictions~statements~upon	('upon~forward-looking~statements~predictions',)
future~predictions	('predictions~future',)
future~predictions~statements	('statements~predictions~future',)
forward-looking~future~predictions~statements	('forward-looking~statements~predictions~future',)
events~future~predictions	('predictions~future~events',)
events~future~predictions~statements	('statements~predictions~future~events',)
events~events~future	('events~future~events',)
events~events~future~future	('future~events~future~events',)
events~future~trends~trends	('trends~future~events~trends',)
discussed	('discussed',)
discussed~trends	('trends~discussed',)
discussed~events~trends	('events~trends~discussed',)
discussed~events~future~trends	('future~events~trends~discussed',)
discussed~presentation	('discussed~presentation',)
discussed~presentation~trends	('trends~discussed~presentation',)
discussed~events~presentation~trends	('events~trends~discussed~presentation',)
may~presentation	('presentation~may',)
discussed~may~presentation	('discussed~presentation~may',)
discussed~may~presentation~trends	('trends~discussed~presentation~may',)
may~not	('may~not',)
may~not~presentation	('presentation~may~not',)
discussed~may~not~presentation	('discussed~presentation~may~not',)
occur	('occur',)
not~occur	('not~occur',)
may~not~occur	('may~not~occur',)
may~not~occur~presentation	('presentation~may~not~occur',)
actual~occur	('occur~actual',)
actual~not~occur	('not~occur~actual',)
actual~may~not~occur	('may~not~occur~actual',)
actual~occur~results	('occur~actual~results',)
actual~not~occur~results	('not~occur~actual~results',)
could~results	('results~could',)
actual~could~results	('actual~results~could',)
actual~could~occur~results	('occur~actual~results~could',)
could~differ	('could~differ',)
could~differ~results	('results~could~differ',)
actual~could~differ~results	('actual~results~could~differ',)
could~differ~materially	('could~differ~materially',)
could~differ~materially~results	('results~could~differ~materially',)
adversely	('adversely',)
adversely~materially	('materially~adversely',)
adversely~differ~materially	('differ~materially~adversely',)
adversely~could~differ~materially	('could~differ~materially~adversely',)
those	('those',)
adversely~those	('adversely~those',)
adversely~materially~those	('materially~adversely~those',)
adversely~differ~materially~those	('differ~materially~adversely~those',)
anticipated	('anticipated',)
anticipated~those	('those~anticipated',)
adversely~anticipated~those	('adversely~those~anticipated',)
adversely~anticipated~materially~those	('materially~adversely~those~anticipated',)
implied	('implied',)
anticipated~implied	('anticipated~implied',)
anticipated~implied~those	('those~anticipated~implied',)
adversely~anticipated~implied~those	('adversely~those~anticipated~implied',)
forward-looking~implied	('implied~forward-looking',)
anticipated~forward-looking~implied	('anticipated~implied~forward-looking',)
anticipated~forward-looking~implied~those	('those~anticipated~implied~forward-looking',)
forward-looking~implied~statements	('implied~forward-looking~statements',)
anticipated~forward-looking~implied~statements	('anticipated~implied~forward-looking~statements',)
although	('although',)
although~nvidia	('although~nvidia', 'nvidia~although')
although~nvidia~nvidia	('nvidia~although~nvidia',)
although~although~nvidia~nvidia	('although~nvidia~although~nvidia',)
believes~nvidia	('nvidia~believes',)
although~believes~nvidia	('although~nvidia~believes',)
although~believes~believes~nvidia	('believes~although~nvidia~believes',)
believes~expectations	('believes~expectations',)
believes~expectations~nvidia	('nvidia~believes~expectations',)
although~believes~expectations~nvidia	('although~nvidia~believes~expectations',)
reflected	('reflected',)
expectations~reflected	('expectations~reflected',)
believes~expectations~reflected	('believes~expectations~reflected',)
believes~expectations~nvidia~reflected	('nvidia~believes~expectations~reflected',)
forward-looking~reflected	('reflected~forward-looking',)
expectations~forward-looking~reflected	('expectations~reflected~forward-looking',)
believes~expectations~forward-looking~reflected	('believes~expectations~reflected~forward-looking',)
forward-looking~reflected~statements	('reflected~forward-looking~statements',)
expectations~forward-looking~reflected~statements	('expectations~reflected~forward-looking~statements',)
reasonable	('reasonable',)
reasonable~statements	('statements~reasonable',)
forward-looking~reasonable~statements	('forward-looking~statements~reasonable',)
forward-looking~reasonable~reflected~statements	('reflected~forward-looking~statements~reasonable',)
company	('company',)
company~reasonable	('reasonable~company',)
company~reasonable~statements	('statements~reasonable~company',)
company~forward-looking~reasonable~statements	('forward-looking~statements~reasonable~company',)
cannot	('cannot',)
cannot~company	('company~cannot',)
cannot~company~reasonable	('reasonable~company~cannot',)
cannot~company~reasonable~statements	('statements~reasonable~company~cannot',)
guarantee	('guarantee',)
cannot~guarantee	('cannot~guarantee',)
cannot~company~guarantee	('company~cannot~guarantee',)
cannot~company~guarantee~reasonable	('reasonable~company~cannot~guarantee',)
future~guarantee	('guarantee~future',)
cannot~future~guarantee	('cannot~guarantee~future',)
cannot~company~future~guarantee	('company~cannot~guarantee~future',)
future~results	('future~results', 'results~future')
future~guarantee~results	('guarantee~future~results',)
cannot~future~guarantee~results	('cannot~guarantee~future~results',)
levels	('levels',)
levels~results	('results~levels',)
future~levels~results	('future~results~levels',)
future~guarantee~levels~results	('guarantee~future~results~levels',)
activity	('activity',)
activity~levels	('levels~activity',)
activity~levels~results	('results~levels~activity',)
activity~future~levels~results	('future~results~levels~activity',)
activity~performance	('activity~performance',)
activity~levels~performance	('levels~activity~performance',)
activity~levels~performance~results	('results~levels~activity~performance',)
achievements	('achievements',)
achievements~performance	('performance~achievements',)
achievements~activity~performance	('activity~performance~achievements',)
achievements~activity~levels~performance	('levels~activity~performance~achievements',)
achievements~events	('achievements~events',)
achievements~events~performance	('performance~achievements~events',)
achievements~activity~events~performance	('activity~performance~achievements~events',)
circumstances	('circumstances',)
circumstances~events	('events~circumstances',)
achievements~circumstances~events	('achievements~events~circumstances',)
achievements~circumstances~events~performance	('performance~achievements~events~circumstances',)
circumstances~reflected	('circumstances~reflected',)
circumstances~events~reflected	('events~circumstances~reflected',)
achievements~circumstances~events~reflected	('achievements~events~circumstances~reflected',)
circumstances~forward-looking~reflected	('circumstances~reflected~forward-looking',)
circumstances~events~forward-looking~reflected	('events~circumstances~reflected~forward-looking',)
circumstances~forward-looking~reflected~statements	('circumstances~reflected~forward-looking~statements',)
occur~statements	('statements~occur',)
forward-looking~occur~statements	('forward-looking~statements~occur',)
forward-looking~occur~reflected~statements	('reflected~forward-looking~statements~occur',)
required	('required',)
except~required	('except~required',)
except~required~required	('required~except~required',)
except~except~required~required	('except~required~except~required',)
law~required	('required~law',)
except~law~required	('except~required~law',)
except~law~law~required	('law~except~required~law',)
law~nvidia	('law~nvidia',)
law~nvidia~required	('required~law~nvidia',)
except~law~nvidia~required	('except~required~law~nvidia',)
disclaims	('disclaims',)
disclaims~nvidia	('nvidia~disclaims',)
disclaims~law~nvidia	('law~nvidia~disclaims',)
disclaims~law~nvidia~required	('required~law~nvidia~disclaims',)
obligation	('obligation',)
disclaims~obligation	('disclaims~obligation',)
disclaims~nvidia~obligation	('nvidia~disclaims~obligation',)
disclaims~law~nvidia~obligation	('law~nvidia~disclaims~obligation',)
obligation~update	('obligation~update',)
disclaims~obligation~update	('disclaims~obligation~update',)
disclaims~nvidia~obligation~update	('nvidia~disclaims~obligation~update',)
forward-looking~update	('update~forward-looking',)
forward-looking~obligation~update	('obligation~update~forward-looking',)
disclaims~forward-looking~obligation~update	('disclaims~obligation~update~forward-looking',)
forward-looking~statements~update	('update~forward-looking~statements',)
forward-looking~obligation~statements~update	('obligation~update~forward-looking~statements',)
reflect	('reflect',)
reflect~statements	('statements~reflect',)
forward-looking~reflect~statements	('forward-looking~statements~reflect',)
forward-looking~reflect~statements~update	('update~forward-looking~statements~reflect',)
future~reflect	('reflect~future',)
future~reflect~statements	('statements~reflect~future',)
forward-looking~future~reflect~statements	('forward-looking~statements~reflect~future',)
events~future~reflect	('reflect~future~events',)
events~future~reflect~statements	('statements~reflect~future~events',)
circumstances~events~future	('future~events~circumstances',)
circumstances~events~future~reflect	('reflect~future~events~circumstances',)
complete	('complete',)
discussion	('discussion',)
complete~discussion	('complete~discussion',)
complete~discussion~discussion	('discussion~complete~discussion',)
complete~complete~discussion~discussion	('complete~discussion~complete~discussion',)
discussion~factors	('discussion~factors', 'factors~discussion')
complete~discussion~factors	('complete~discussion~factors',)
complete~discussion~factors~factors	('factors~complete~discussion~factors',)
could~discussion~factors	('discussion~factors~could',)
complete~could~discussion~factors	('complete~discussion~factors~could',)
could~materially	('could~materially',)
could~factors~materially	('factors~could~materially',)
could~discussion~factors~materially	('discussion~factors~could~materially',)
affect~materially	('materially~affect',)
affect~could~materially	('could~materially~affect',)
affect~could~factors~materially	('factors~could~materially~affect',)
affect~financial~materially	('materially~affect~financial',)
affect~could~financial~materially	('could~materially~affect~financial',)
financial~results	('financial~results', 'results~financial')
affect~financial~results	('affect~financial~results',)
affect~financial~materially~results	('materially~affect~financial~results',)
financial~operations~results	('financial~results~operations', 'results~operations~financial', 'operations~financial~results')
affect~financial~operations~results	('affect~financial~results~operations',)
please	('please',)
operations~please	('operations~please',)
operations~please~results	('results~operations~please',)
financial~operations~please~results	('financial~results~operations~please',)
refer	('refer',)
please~refer	('please~refer',)
operations~please~refer	('operations~please~refer',)
operations~please~refer~results	('results~operations~please~refer',)
reports	('reports',)
refer~reports	('refer~reports',)
please~refer~reports	('please~refer~reports',)
operations~please~refer~reports	('operations~please~refer~reports',)
file	('file',)
file~reports	('reports~file', 'file~reports')
file~refer~reports	('refer~reports~file',)
file~please~refer~reports	('please~refer~reports~file',)
file~time	('file~time',)
file~reports~time	('reports~file~time',)
file~refer~reports~time	('refer~reports~file~time',)
time~time	('time~time',)
file~time~time	('file~time~time',)
file~reports~time~time	('reports~file~time~time',)
sec	('sec',)
sec~time	('time~sec',)
sec~time~time	('time~time~sec',)
file~sec~time~time	('file~time~time~sec',)
including~sec	('sec~including',)
including~sec~time	('time~sec~including',)
including~sec~time~time	('time~time~sec~including',)
including~most	('including~most',)
including~most~sec	('sec~including~most',)
including~most~sec~time	('time~sec~including~most',)
recent	('recent',)
most~recent	('most~recent',)
including~most~recent	('including~most~recent',)
including~most~recent~sec	('sec~including~most~recent',)
annual	('annual',)
annual~recent	('recent~annual',)
annual~most~recent	('most~recent~annual',)
annual~including~most~recent	('including~most~recent~annual',)
report	('report',)
annual~report	('annual~report',)
annual~recent~report	('recent~annual~report',)
annual~most~recent~report	('most~recent~annual~report',)
form	('form',)
form~report	('report~form',)
annual~form~report	('annual~report~form',)
annual~form~recent~report	('recent~annual~report~form',)
10-k	('10-k',)
10-k~form	('form~10-k',)
10-k~form~report	('report~form~10-k',)
10-k~annual~form~report	('annual~report~form~10-k', 'report~form~10-k~annual')
quarterly	('quarterly',)
10-k~quarterly	('10-k~quarterly',)
10-k~form~quarterly	('form~10-k~quarterly',)
10-k~form~quarterly~report	('report~form~10-k~quarterly',)
quarterly~reports	('quarterly~reports',)
10-k~quarterly~reports	('10-k~quarterly~reports',)
10-k~form~quarterly~reports	('form~10-k~quarterly~reports', '10-k~quarterly~reports~form', 'reports~form~10-k~quarterly')
form~reports	('reports~form',)
form~quarterly~reports	('quarterly~reports~form',)
10-q	('10-q',)
10-q~form	('form~10-q', '10-q~form')
10-q~form~reports	('reports~form~10-q',)
10-q~form~quarterly~reports	('quarterly~reports~form~10-q',)
10-q~current	('10-q~current',)
10-q~current~form	('form~10-q~current',)
10-q~current~form~reports	('reports~form~10-q~current', 'form~10-q~current~reports', '10-q~current~reports~form')
current~reports	('current~reports',)
10-q~current~reports	('10-q~current~reports',)
current~form~reports	('current~reports~form',)
8-k	('8-k',)
8-k~form	('form~8-k',)
8-k~form~reports	('reports~form~8-k',)
8-k~current~form~reports	('current~reports~form~8-k',)
copies	('copies',)
copies~reports	('copies~reports',)
copies~reports~reports	('reports~copies~reports',)
copies~copies~reports~reports	('copies~reports~copies~reports',)
copies~file~reports	('copies~reports~file',)
copies~file~file~reports	('file~copies~reports~file',)
file~sec	('file~sec',)
file~reports~sec	('reports~file~sec',)
copies~file~reports~sec	('copies~reports~file~sec',)
posted	('posted',)
posted~sec	('sec~posted',)
file~posted~sec	('file~sec~posted',)
file~posted~reports~sec	('reports~file~sec~posted',)
website	('website',)
posted~website	('posted~website',)
posted~sec~website	('sec~posted~website',)
file~posted~sec~website	('file~sec~posted~website',)
available	('available',)
available~website	('website~available', 'available~website')
available~posted~website	('posted~website~available',)
available~posted~sec~website	('sec~posted~website~available',)
available~nvidia	('available~nvidia',)
available~nvidia~website	('website~available~nvidia',)
available~nvidia~posted~website	('posted~website~available~nvidia',)
without	('without',)
nvidia~without	('nvidia~without',)
available~nvidia~without	('available~nvidia~without',)
available~nvidia~website~without	('website~available~nvidia~without',)
charge	('charge',)
charge~without	('without~charge',)
charge~nvidia~without	('nvidia~without~charge',)
available~charge~nvidia~without	('available~nvidia~without~charge',)
many	('many',)
many~products	('many~products',)
many~products~products	('products~many~products',)
many~many~products~products	('many~products~many~products',)
features~products	('products~features',)
features~many~products	('many~products~features',)
features~features~many~products	('features~many~products~features',)
described	('described',)
described~features	('features~described',)
described~features~products	('products~features~described',)
described~features~many~products	('many~products~features~described',)
described~herein	('described~herein',)
described~features~herein	('features~described~herein',)
described~features~herein~products	('products~features~described~herein',)
remain	('remain',)
herein~remain	('herein~remain',)
described~herein~remain	('described~herein~remain',)
described~features~herein~remain	('features~described~herein~remain',)
stages	('stages',)
remain~stages	('remain~stages',)
herein~remain~stages	('herein~remain~stages',)
described~herein~remain~stages	('described~herein~remain~stages',)
offered	('offered',)
offered~stages	('stages~offered',)
offered~remain~stages	('remain~stages~offered',)
herein~offered~remain~stages	('herein~remain~stages~offered',)
when-and-if-available	('when-and-if-available',)
offered~when-and-if-available	('offered~when-and-if-available',)
offered~stages~when-and-if-available	('stages~offered~when-and-if-available',)
offered~remain~stages~when-and-if-available	('remain~stages~offered~when-and-if-available',)
basis	('basis',)
basis~when-and-if-available	('when-and-if-available~basis',)
basis~offered~when-and-if-available	('offered~when-and-if-available~basis',)
basis~offered~stages~when-and-if-available	('stages~offered~when-and-if-available~basis',)
not~statements	('statements~not',)
not~not~statements	('not~statements~not',)
not~not~statements~statements	('statements~not~statements~not',)
intended	('intended',)
intended~not	('not~intended', 'intended~not')
intended~not~statements	('statements~not~intended',)
intended~intended~not~statements	('intended~statements~not~intended',)
intended~not~not	('not~intended~not',)
intended~not~not~statements	('statements~not~intended~not',)
interpreted	('interpreted',)
interpreted~not	('not~interpreted',)
intended~interpreted~not	('intended~not~interpreted',)
intended~interpreted~not~not	('not~intended~not~interpreted',)
commitment	('commitment',)
commitment~interpreted	('interpreted~commitment',)
commitment~interpreted~not	('not~interpreted~commitment',)
commitment~intended~interpreted~not	('intended~not~interpreted~commitment',)
promise	('promise',)
commitment~promise	('commitment~promise',)
commitment~interpreted~promise	('interpreted~commitment~promise',)
commitment~interpreted~not~promise	('not~interpreted~commitment~promise',)
legal	('legal',)
legal~promise	('promise~legal',)
commitment~legal~promise	('commitment~promise~legal',)
commitment~interpreted~legal~promise	('interpreted~commitment~promise~legal',)
legal~obligation	('legal~obligation',)
legal~obligation~promise	('promise~legal~obligation',)
commitment~legal~obligation~promise	('commitment~promise~legal~obligation',)
development~obligation	('obligation~development',)
development~legal~obligation	('legal~obligation~development',)
development~legal~obligation~promise	('promise~legal~obligation~development',)
release	('release',)
development~release	('development~release',)
development~obligation~release	('obligation~development~release',)
development~legal~obligation~release	('legal~obligation~development~release',)
release~timing	('release~timing',)
development~release~timing	('development~release~timing',)
development~obligation~release~timing	('obligation~development~release~timing',)
features~release~timing	('release~timing~features',)
development~features~release~timing	('development~release~timing~features',)
functionalities	('functionalities',)
features~functionalities	('features~functionalities',)
features~functionalities~timing	('timing~features~functionalities',)
features~functionalities~release~timing	('release~timing~features~functionalities',)
described~functionalities	('functionalities~described',)
described~features~functionalities	('features~functionalities~described',)
described~features~functionalities~timing	('timing~features~functionalities~described',)
described~products	('described~products',)
described~functionalities~products	('functionalities~described~products',)
described~features~functionalities~products	('features~functionalities~described~products',)
products~subject	('products~subject',)
described~products~subject	('described~products~subject',)
described~functionalities~products~subject	('functionalities~described~products~subject',)
change	('change',)
change~subject	('subject~change',)
change~products~subject	('products~subject~change',)
change~described~products~subject	('described~products~subject~change',)
remains	('remains',)
change~remains	('change~remains',)
change~remains~subject	('subject~change~remains',)
change~products~remains~subject	('products~subject~change~remains',)
sole	('sole',)
remains~sole	('remains~sole',)
change~remains~sole	('change~remains~sole',)
change~remains~sole~subject	('subject~change~remains~sole',)
discretion	('discretion',)
discretion~sole	('sole~discretion',)
discretion~remains~sole	('remains~sole~discretion',)
change~discretion~remains~sole	('change~remains~sole~discretion',)
discretion~nvidia	('discretion~nvidia',)
discretion~nvidia~sole	('sole~discretion~nvidia',)
discretion~nvidia~remains~sole	('remains~sole~discretion~nvidia',)
have	('have',)
have~nvidia	('nvidia~have', 'have~nvidia')
have~have~nvidia	('have~nvidia~have',)
have~have~nvidia~nvidia	('nvidia~have~nvidia~have',)
no	('no',)
have~no	('have~no',)
have~no~nvidia	('nvidia~have~no',)
have~no~no~nvidia	('no~nvidia~have~no',)
liability	('liability',)
liability~no	('no~liability',)
have~liability~no	('have~no~liability',)
have~liability~no~nvidia	('nvidia~have~no~liability',)
failure	('failure',)
failure~liability	('liability~failure',)
failure~liability~no	('no~liability~failure',)
failure~have~liability~no	('have~no~liability~failure',)
deliver	('deliver',)
deliver~failure	('failure~deliver',)
deliver~failure~liability	('liability~failure~deliver',)
deliver~failure~liability~no	('no~liability~failure~deliver',)
delay	('delay',)
delay~deliver	('deliver~delay',)
delay~deliver~failure	('failure~deliver~delay',)
delay~deliver~failure~liability	('liability~failure~deliver~delay',)
delivery	('delivery',)
delay~delivery	('delay~delivery',)
delay~deliver~delivery	('deliver~delay~delivery',)
delay~deliver~delivery~failure	('failure~deliver~delay~delivery',)
delivery~products	('delivery~products',)
delay~delivery~products	('delay~delivery~products',)
delay~deliver~delivery~products	('deliver~delay~delivery~products',)
delivery~features~products	('delivery~products~features',)
delay~delivery~features~products	('delay~delivery~products~features',)
functions	('functions',)
features~functions	('features~functions',)
features~functions~products	('products~features~functions',)
delivery~features~functions~products	('delivery~products~features~functions',)
set	('set',)
functions~set	('functions~set',)
features~functions~set	('features~functions~set',)
features~functions~products~set	('products~features~functions~set',)
forth	('forth',)
forth~set	('set~forth',)
forth~functions~set	('functions~set~forth',)
features~forth~functions~set	('features~functions~set~forth',)
forth~herein	('forth~herein',)
forth~herein~set	('set~forth~herein',)
forth~functions~herein~set	('functions~set~forth~herein',)
uses	('uses',)
nvidia~uses	('nvidia~uses',)
nvidia~uses~uses	('uses~nvidia~uses',)
nvidia~nvidia~uses~uses	('nvidia~uses~nvidia~uses',)
certain~uses	('uses~certain',)
certain~nvidia~uses	('nvidia~uses~certain',)
certain~certain~nvidia~uses	('certain~nvidia~uses~certain',)
non-gaap	('non-gaap',)
certain~non-gaap	('certain~non-gaap',)
certain~non-gaap~uses	('uses~certain~non-gaap',)
certain~non-gaap~nvidia~uses	('nvidia~uses~certain~non-gaap',)
measures	('measures',)
measures~non-gaap	('non-gaap~measures',)
certain~measures~non-gaap	('certain~non-gaap~measures',)
certain~measures~non-gaap~uses	('uses~certain~non-gaap~measures',)
measures~presentation	('measures~presentation',)
measures~non-gaap~presentation	('non-gaap~measures~presentation',)
certain~measures~non-gaap~presentation	('certain~non-gaap~measures~presentation',)
including~measures~presentation	('measures~presentation~including',)
including~measures~non-gaap~presentation	('non-gaap~measures~presentation~including', 'measures~presentation~including~non-gaap')
including~non-gaap	('including~non-gaap',)
including~non-gaap~presentation	('presentation~including~non-gaap',)
gross	('gross',)
gross~non-gaap	('non-gaap~gross',)
gross~including~non-gaap	('including~non-gaap~gross',)
gross~including~non-gaap~presentation	('presentation~including~non-gaap~gross',)
profit	('profit',)
gross~profit	('gross~profit', 'profit~gross')
gross~non-gaap~profit	('non-gaap~gross~profit', 'gross~profit~non-gaap', 'profit~non-gaap~gross')
gross~including~non-gaap~profit	('including~non-gaap~gross~profit',)
non-gaap~profit	('profit~non-gaap',)
gross~non-gaap~non-gaap~profit	('non-gaap~gross~profit~non-gaap',)
gross~gross~non-gaap~profit	('gross~profit~non-gaap~gross',)
margin	('margin',)
gross~margin	('gross~margin', 'margin~gross')
gross~margin~non-gaap	('non-gaap~gross~margin', 'gross~margin~non-gaap')
gross~margin~non-gaap~profit	('profit~non-gaap~gross~margin',)
margin~non-gaap	('margin~non-gaap',)
gross~margin~non-gaap~non-gaap	('non-gaap~gross~margin~non-gaap',)
operating	('operating',)
non-gaap~operating	('non-gaap~operating',)
margin~non-gaap~operating	('margin~non-gaap~operating', 'operating~margin~non-gaap')
gross~margin~non-gaap~operating	('gross~margin~non-gaap~operating',)
expenses	('expenses',)
expenses~operating	('operating~expenses',)
expenses~non-gaap~operating	('non-gaap~operating~expenses', 'operating~expenses~non-gaap', 'expenses~non-gaap~operating')
expenses~margin~non-gaap~operating	('margin~non-gaap~operating~expenses',)
expenses~non-gaap	('expenses~non-gaap',)
expenses~non-gaap~non-gaap~operating	('non-gaap~operating~expenses~non-gaap',)
expenses~non-gaap~operating~operating	('operating~expenses~non-gaap~operating',)
income	('income',)
income~operating	('operating~income', 'income~operating')
income~non-gaap~operating	('non-gaap~operating~income', 'operating~income~non-gaap', 'income~non-gaap~operating')
expenses~income~non-gaap~operating	('expenses~non-gaap~operating~income',)
non-	('non-',)
income~non-	('income~non-',)
income~non-~operating	('operating~income~non-',)
income~non-~non-gaap~operating	('non-gaap~operating~income~non-',)
gaap	('gaap',)
gaap~non-	('non-~gaap',)
gaap~income~non-	('income~non-~gaap',)
gaap~income~non-~operating	('operating~income~non-~gaap', 'income~non-~gaap~operating', 'non-~gaap~operating~income', 'gaap~operating~income~non-')
gaap~operating	('gaap~operating',)
gaap~non-~operating	('non-~gaap~operating',)
margin~operating	('operating~margin', 'margin~operating')
gaap~margin~operating	('gaap~operating~margin',)
gaap~margin~non-~operating	('non-~gaap~operating~margin',)
gaap~margin~non-gaap~operating	('gaap~operating~margin~non-gaap',)
net	('net',)
net~non-gaap	('non-gaap~net',)
margin~net~non-gaap	('margin~non-gaap~net',)
margin~net~non-gaap~operating	('operating~margin~non-gaap~net',)
income~net	('net~income', 'income~net')
income~net~non-gaap	('non-gaap~net~income', 'net~income~non-gaap')
income~margin~net~non-gaap	('margin~non-gaap~net~income',)
income~non-gaap	('income~non-gaap',)
income~net~non-gaap~non-gaap	('non-gaap~net~income~non-gaap',)
diluted	('diluted',)
diluted~non-gaap	('non-gaap~diluted',)
diluted~income~non-gaap	('income~non-gaap~diluted',)
diluted~income~net~non-gaap	('net~income~non-gaap~diluted',)
earnings	('earnings',)
diluted~earnings	('diluted~earnings',)
diluted~earnings~non-gaap	('non-gaap~diluted~earnings',)
diluted~earnings~income~non-gaap	('income~non-gaap~diluted~earnings',)
per	('per',)
earnings~per	('earnings~per',)
diluted~earnings~per	('diluted~earnings~per',)
diluted~earnings~non-gaap~per	('non-gaap~diluted~earnings~per',)
share	('share',)
per~share	('per~share',)
earnings~per~share	('earnings~per~share',)
diluted~earnings~per~share	('diluted~earnings~per~share',)
free	('free',)
free~share	('share~free',)
free~per~share	('per~share~free',)
earnings~free~per~share	('earnings~per~share~free',)
cash	('cash',)
cash~free	('free~cash',)
cash~free~share	('share~free~cash',)
cash~free~per~share	('per~share~free~cash',)
flow	('flow',)
cash~flow	('cash~flow',)
cash~flow~free	('free~cash~flow',)
cash~flow~free~share	('share~free~cash~flow',)
believes~believes~nvidia	('believes~nvidia~believes',)
believes~believes~nvidia~nvidia	('nvidia~believes~nvidia~believes',)
believes~presentation	('believes~presentation',)
believes~nvidia~presentation	('nvidia~believes~presentation',)
believes~nvidia~presentation~presentation	('presentation~nvidia~believes~presentation',)
non-gaap~presentation	('presentation~non-gaap',)
believes~non-gaap~presentation	('believes~presentation~non-gaap',)
believes~non-gaap~nvidia~presentation	('nvidia~believes~presentation~non-gaap',)
financial~non-gaap	('non-gaap~financial',)
financial~non-gaap~presentation	('presentation~non-gaap~financial',)
believes~financial~non-gaap~presentation	('believes~presentation~non-gaap~financial',)
financial~measures	('financial~measures',)
financial~measures~non-gaap	('non-gaap~financial~measures',)
financial~measures~non-gaap~presentation	('presentation~non-gaap~financial~measures',)
enhances	('enhances',)
enhances~measures	('measures~enhances',)
enhances~financial~measures	('financial~measures~enhances',)
enhances~financial~measures~non-gaap	('non-gaap~financial~measures~enhances',)
investors	('investors',)
enhances~investors	('enhances~investors',)
enhances~investors~measures	('measures~enhances~investors',)
enhances~financial~investors~measures	('financial~measures~enhances~investors',)
investors~overall	('investors~overall',)
enhances~investors~overall	('enhances~investors~overall',)
enhances~investors~measures~overall	('measures~enhances~investors~overall',)
understanding	('understanding',)
overall~understanding	('overall~understanding',)
investors~overall~understanding	('investors~overall~understanding',)
enhances~investors~overall~understanding	('enhances~investors~overall~understanding',)
companys	('companys',)
companys~understanding	('understanding~companys',)
companys~overall~understanding	('overall~understanding~companys',)
companys~investors~overall~understanding	('investors~overall~understanding~companys',)
companys~historical	('companys~historical',)
companys~historical~understanding	('understanding~companys~historical',)
companys~historical~overall~understanding	('overall~understanding~companys~historical',)
financial~historical	('historical~financial',)
companys~financial~historical	('companys~historical~financial',)
companys~financial~historical~understanding	('understanding~companys~historical~financial',)
financial~performance	('financial~performance', 'performance~financial')
financial~historical~performance	('historical~financial~performance',)
companys~financial~historical~performance	('companys~historical~financial~performance',)
companys~presentation	('presentation~companys',)
companys~companys~presentation	('companys~presentation~companys',)
companys~companys~presentation~presentation	('presentation~companys~presentation~companys',)
companys~non-gaap	('companys~non-gaap',)
companys~non-gaap~presentation	('presentation~companys~non-gaap',)
companys~non-gaap~non-gaap~presentation	('non-gaap~presentation~companys~non-gaap',)
companys~financial~non-gaap	('companys~non-gaap~financial',)
companys~financial~non-gaap~presentation	('presentation~companys~non-gaap~financial',)
companys~financial~measures~non-gaap	('companys~non-gaap~financial~measures',)
measures~not	('measures~not',)
financial~measures~not	('financial~measures~not',)
financial~measures~non-gaap~not	('non-gaap~financial~measures~not',)
meant	('meant',)
meant~not	('not~meant',)
meant~measures~not	('measures~not~meant',)
financial~meant~measures~not	('financial~measures~not~meant',)
isolation	('isolation',)
isolation~meant	('meant~isolation',)
isolation~meant~not	('not~meant~isolation',)
isolation~meant~measures~not	('measures~not~meant~isolation',)
substitute	('substitute',)
isolation~substitute	('isolation~substitute',)
isolation~meant~substitute	('meant~isolation~substitute',)
isolation~meant~not~substitute	('not~meant~isolation~substitute',)
companys~substitute	('substitute~companys',)
companys~isolation~substitute	('isolation~substitute~companys',)
companys~isolation~meant~substitute	('meant~isolation~substitute~companys',)
companys~financial	('companys~financial',)
companys~financial~substitute	('substitute~companys~financial',)
companys~financial~isolation~substitute	('isolation~substitute~companys~financial',)
companys~financial~results	('companys~financial~results',)
companys~financial~results~substitute	('substitute~companys~financial~results',)
prepared	('prepared',)
prepared~results	('results~prepared',)
financial~prepared~results	('financial~results~prepared',)
companys~financial~prepared~results	('companys~financial~results~prepared',)
accordance	('accordance',)
accordance~prepared	('prepared~accordance',)
accordance~prepared~results	('results~prepared~accordance',)
accordance~financial~prepared~results	('financial~results~prepared~accordance',)
accordance~gaap	('accordance~gaap',)
accordance~gaap~prepared	('prepared~accordance~gaap',)
accordance~gaap~prepared~results	('results~prepared~accordance~gaap',)
companys~gaap	('gaap~companys',)
accordance~companys~gaap	('accordance~gaap~companys',)
accordance~companys~gaap~prepared	('prepared~accordance~gaap~companys',)
companys~gaap~non-gaap	('gaap~companys~non-gaap',)
accordance~companys~gaap~non-gaap	('accordance~gaap~companys~non-gaap',)
companys~measures~non-gaap	('companys~non-gaap~measures',)
companys~gaap~measures~non-gaap	('gaap~companys~non-gaap~measures',)
may~measures	('measures~may',)
may~measures~non-gaap	('non-gaap~measures~may',)
companys~may~measures~non-gaap	('companys~non-gaap~measures~may',)
different	('different',)
different~may	('may~different',)
different~may~measures	('measures~may~different',)
different~may~measures~non-gaap	('non-gaap~measures~may~different', 'measures~may~different~non-gaap', 'may~different~non-gaap~measures')
different~non-gaap	('different~non-gaap',)
different~may~non-gaap	('may~different~non-gaap',)
