investor	('investor', 'investors')
162	('162',)
1933	('1933',)
stretch	('stretch',)
maximum	('maximum',)
single-year	('single-year',)
threshold	('threshold', 'thresholds')
minimum	('minimum',)
tsr	('tsr', 'tsrs')
record-break	('record-breaking',)
260	('260',)
higher-end	('higher-end',)
against	('against',)
backdrop	('backdrop',)
disrupt	('disruptions', 'disruptive', 'disrupt', 'disruption', 'disrupted')
strength	('strength',)
leverag	('leverage', 'leveraging', 'leveraged', 'leverages')
122%	('122%',)
123%	('123%',)
125%	('125%',)
58%	('58%',)
natur	('natural', 'nature')
1-year	('1-year',)
3-year	('3-year',)
5-year	('5-year',)
period	('periods', 'period', 'periodically', 'periodic')
76%	('76%',)
474%	('474%',)
728%	('728%',)
repres	('represents', 'representing', 'represented', 'represent', 'representatives', 'representative')
appreci	('appreciation',)
reinvest	('reinvested', 'reinvestment', 'reinvest')
$228	('$228',)
trade	('trading', 'traded', 'trade')
elsewher	('elsewhere',)
consid	('consider', 'considering', 'considers')
read	('read',)
care	('carefully', 'care')
urg	('urges',)
abstent	('abstentions',)
broker	('broker', 'brokers')
non-vot	('non-votes', 'non-vote')
none	('none',)
n	('n',)
follow	('following', 'follow', 'follows', 'followed')
age	('age', 'ages')
sinc	('since',)
expert*	('expert*',)
membership	('membership', 'memberships')
robert	('robert',)
k	('k',)
burgess	('burgess',)
2011	('2011',)
\xfc	('\\xfc',)
tench	('tench',)
cox	('coxe',)
1993	('1993',)
o	('o',)
dabiri	('dabiri',)
persi	('persis',)
drell	('drell',)
jen-hsun	('jen-hsun',)
hudson	('hudson',)
chair	('chair', 'chairs')
harvey	('harvey',)
jone	('jones',)
michael	('michael',)
mccafferi	('mccaffery',)
stephen	('stephen', 'stephens')
neal	('neal', 'neals')
mark	('mark', 'marking', 'marked')
l	('l',)
perri	('perry',)
2005	('2005',)
brook	('brooke',)
seawel	('seawell',)
74	('74',)
1997	('1997',)
aarti	('aarti',)
shah	('shah',)
steven	('stevens',)
2008	('2008',)
**	('**',)
*	('*',)
qualifi	('qualifying', 'qualified', 'qualifies', 'qualify')
until	('until',)
2006	('2006',)
demograph	('demographics', 'demographic')
exhibit	('exhibit', 'exhibits')
compet	('competencies', 'compete', 'competing')
background	('backgrounds', 'background')
viewpoint	('viewpoints',)
perspect	('perspectives', 'perspective')
institut	('institutional', 'institute', 'institutions', 'instituted', 'institution')
longer-serv	('longer-serving',)
idea	('ideas',)
appoint	('appointment', 'appointed', 'appoints', 'appoint')
attribut	('attributes', 'attributable', 'attribution', 'attributed')
possess	('possess', 'possessing', 'possessed', 'possession')
senior	('senior',)
brand	('brand', 'branding', 'brands')
regulatori	('regulatory',)
interest	('interests', 'interest')
issu	('issues', 'issue', 'issued', 'issuing')
practic	('practices', 'practice', 'practicable', 'practical')
well-structur	('well-structured',)
holder	('holders', 'holder')
aggreg	('aggregate', 'aggregated')
32%	('32%',)
insight	('insights', 'insight')
view	('views', 'viewed', 'view')
inclus	('inclusion', 'inclusive', 'inclusions')
\xa0	('\\xa0',)
declassifi	('declassified',)
covid-19	('covid-19', 'covid-19s')
frequent	('frequently',)
session	('sessions', 'session')
self-assess	('self-assessments',)
outreach	('outreach',)
guidelin	('guidelines',)
ask	('asking', 'ask')
cast	('cast', 'casting')
non-bind	('non-binding',)
say-on-pay	('say-on-pay',)
attract	('attract', 'attracting', 'attracts', 'attractive', 'attracted')
retain	('retain', 'retaining', 'retained', 'retainer', 'retains')
high-calib	('high-caliber',)
align	('aligning', 'align', 'aligned', 'alignment', 'aligns')
simplic	('simplicity',)
transpar	('transparency',)
element	('elements', 'element')
heavili	('heavily',)
weight	('weighted', 'weighting', 'weight')
toward	('toward', 'towards')
performance-bas	('performance-based',)
at-risk	('at-risk',)
pre-establish	('pre-established',)
200%	('200%',)
150%	('150%',)
95%	('95%',)
paid	('paid',)
feedback	('feedback',)
conclud	('concluded', 'concludes', 'concluding', 'conclude')
same	('same',)
ii	('ii',)
strengthen	('strengthen', 'strengthening', 'strengthens', 'strengthened')
link	('link', 'links', 'linking')
portion	('portion', 'portions')
tie	('tied',)
success	('success', 'successful', 'successfully', 'succession')
show	('shows',)
payout	('payout', 'payouts')
%	('%',)
25th	('25th',)
percentil	('percentile', 'percentiles')
25%	('25%',)
50th	('50th',)
$23	('$23',)
75th	('75th',)
billion*	('billion*',)
626%*	('626%*',)
100th	('100th',)
*see	('*see',)
ratifi	('ratify', 'ratified', 'ratifying')
reconsid	('reconsider',)
nevertheless	('nevertheless',)
912	('912',)
755	('755',)
520	('520',)
issuanc	('issuance', 'issuances')
adequ	('adequate', 'adequately')
split	('splits', 'split')
merger	('mergers', 'merger')
rais	('raising', 'raised')
compon	('component', 'components')
motiv	('motivating', 'motivate', 'motivation')
sound	('sound', 'sounds')
aspect	('aspect', 'aspects')
408	('408',)
486-2000	('486-2000',)
\xa0\xa0____________________________________________________	('\\xa0\\xa0____________________________________________________',)
____________________________________________________	('____________________________________________________',)
amount	('amounts', 'amount')
four-for-on	('four-for-one',)
juli	('july',)
solicit	('solicited', 'soliciting', 'solicit', 'solicits')
behalf	('behalf',)
philosophi	('philosophy', 'philosophies')
format	('format',)
invit	('invites',)
in-person	('in-person',)
focus	('focused', 'focuses')
directli	('directly',)
archiv	('archived',)
webcast	('webcast', 'webcasts')
listen	('listen',)
encount	('encounter', 'encountered')
difficulti	('difficulties', 'difficulty')
check-in	('check-in',)
cours	('course',)
count	('counted', 'count')
later	('later',)
decid	('decide', 'decided', 'deciding')
encourag	('encourage', 'encourages')
stockholder-submit	('stockholder-submitted',)
permit	('permits', 'permitted', 'permit')
pertin	('pertinent',)
fair	('fairness', 'fair')
resourc	('resources', 'resource', 'resourced')
respond	('respond',)
quorum	('quorum',)
either	('either',)
504	('504',)
014	('014',)
351	('351',)
252	('252',)
007	('007',)
176	('176',)
adjourn	('adjourn',)
abstain	('abstain', 'abstaining')
transfer	('transfer', 'transferred', 'transferability', 'transferable', 'transfers', 'transferring')
computershar	('computershare',)
revok	('revoke', 'revoking')
final	('final', 'finally', 'finalization', 'finalized', 'finality')
sign	('signing', 'signed', 'sign')
instruct	('instructions', 'instruction')
send	('send', 'sending')
written	('written',)
attent	('attention',)
email	('email',)
bank	('bank', 'banks')
separ	('separate', 'separation', 'separately')
tell	('tell',)
obtain	('obtain', 'obtaining', 'obtained')
non-routin	('non-routine',)
contest	('contested', 'contests')
howev	('however',)
routin	('routine',)
favor	('favor', 'favorable')
discretionari	('discretionary',)
strongli	('strongly',)
whose	('whose',)
brokerag	('brokerage',)
hi	('his',)
her	('her',)
rule	('rules', 'rule', 'rulings', 'ruling')
nation	('national', 'nations', 'nationals')
inspector	('inspector',)
2-5	('2-5',)
proxyhold	('proxyholder',)
judgment	('judgment', 'judgments')
preliminari	('preliminary',)
sent	('sent',)
request	('requested', 'request', 'requesting', 'requests')
choos	('choose', 'choosing')
icsdeliveri	('icsdelivery',)
nvda	('nvda',)
site	('site', 'sites')
intermediari	('intermediaries', 'intermediary')
satisfi	('satisfy', 'satisfying', 'satisfied')
household	('householding', 'household')
unless	('unless',)
contrari	('contrary',)
modifi	('modify', 'modified')
notifi	('notified', 'notify')
otherwis	('otherwise',)
consent	('consent', 'consents')
receipt	('receipt', 'receipts')
depart	('department', 'departments')
phone	('phone', 'phones')
mackenzi	('mackenzie',)
reimburs	('reimburse', 'reimbursement', 'reimbursements', 'reimbursed')
forward	('forwarding', 'forwarded', 'forward')
decemb	('december',)
compli	('comply', 'complies', 'complied', 'complying')
rule\xa014a-8	('rule\\xa014a-8',)
promulg	('promulgated',)
deadlin	('deadline', 'deadlines')
wish	('wish', 'wishes')
consider	('consideration', 'considerable', 'considerations')
pursuant	('pursuant',)
provis	('provision', 'provisions')
bylaw	('bylaws', 'bylaw')
earlier	('earlier',)
februari	('february',)
advis	('advise', 'advised', 'advising', 'advises', 'advisable', 'adviser', 'advisers')
forego	('foregoing',)
14a-19	('14a-19',)
successor	('successor', 'successors')
one-year	('one-year',)
stand	('stand',)
regul	('regulations', 'regulation', 'regulators', 'regulator')
mr	('mr',)
presid	('president', 'presiding')
unabl	('unable',)
size	('size', 'sizes')
occup	('occupation',)
consult	('consultant', 'consulting', 'consults', 'consultants', 'consultation', 'consult')
centenni	('centennial',)
professor	('professor', 'professors')
aeronaut	('aeronautics',)
mechan	('mechanical', 'mechanics', 'mechanism', 'mechanisms')
provost	('provost',)
stanford	('stanford',)
squar	('square',)
ventur	('ventures', 'venture')
makena	('makena',)
chairman	('chairman',)
emeritu	('emeritus',)
counsel	('counsel',)
cooley	('cooley',)
associ	('associates', 'association', 'associations', 'associate')
s-cube	('s-cubed',)
assess	('assesses', 'assessment', 'assess', 'assessments', 'assessing', 'assessed')
shall	('shall',)
conduct	('conduct', 'conducting', 'conducts', 'conducted')
appropri	('appropriate', 'appropriately', 'appropriateness')
inquiri	('inquiries', 'inquiry')
candid	('candidates',)
due	('due',)
dilig	('diligence',)
\xa0th	('\\xa0the',)
educ	('education', 'educator', 'educational', 'educating', 'educate')
instead	('instead',)
candor	('candor',)
sexual	('sexuality',)
underrepres	('underrepresented',)
academia	('academia',)
willing	('willingness',)
devot	('devote',)
rather	('rather',)
constitu	('constituencies',)
competitor	('competitors', 'competitor')
re-elect	('re-election',)
strive	('strive', 'strives')
tenur	('tenure',)
longer-tenur	('longer-tenured',)
familiar	('familiar', 'familiarity')
overse	('overseeing', 'oversees', 'oversee')
newer	('newer',)
academ	('academic',)
outsid	('outside',)
experienc	('experienced',)
cultur	('culture', 'cultural')
facilit	('facilitate', 'facilitating', 'facilitates')
deeper	('deeper',)
financ	('finances', 'finance', 'financing')
valuabl	('valuable',)
compliance-	('compliance-',)
given	('given',)
guidanc	('guidance',)
complianc	('compliance',)
jurisdict	('jurisdictions', 'jurisdiction', 'jurisdictional')
lawsuit	('lawsuits', 'lawsuit')
government	('governmental',)
critic	('critical',)
organiz	('organizational',)
workforc	('workforce',)
dialogu	('dialogue',)
decision-mak	('decision-making',)
room	('room',)
biographi	('biographies',)
icon	('icon',)
indic	('indicates', 'indicated', 'indices', 'indicate', 'indication', 'indicators', 'indicative')
complementari	('complementary',)
self-	('self-',)
matrix	('matrix',)
ident	('identity', 'identical')
male	('male',)
femal	('female',)
binari	('binary',)
did	('did',)
disclos	('disclose', 'disclosed', 'disclosing')
african	('african',)
american	('american',)
black	('black',)
hispan	('hispanic',)
latinx	('latinx',)
asian	('asian',)
nativ	('native',)
alaskan	('alaskan',)
hawaiian	('hawaiian',)
island	('islander', 'islands')
white	('white',)
lgbtq+	('lgbtq+',)
criteria	('criteria',)
prospect	('prospective',)
submiss	('submissions', 'submission')
previou	('previous',)
five	('five',)
biograph	('biographical',)
represent	('representation', 'representations')
accompani	('accompanied', 'accompanying', 'accompany')
voluntarili	('voluntarily',)
specifi	('specified', 'specify')
particular	('particular',)
rel	('relative', 'relatively')
he	('he',)
she	('she',)
1996	('1996',)
macromedia	('macromedia',)
inc	('inc',)
multimedia	('multimedia',)
acquir	('acquired', 'acquirer', 'acquiring', 'acquire', 'acquires')
1998	('1998',)
1984	('1984',)
1991	('1991',)
sgi	('sgi',)
alia	('alias',)
publicli	('publicly',)
resum	('resumed', 'resume')
imri	('imris',)
therapi	('therapy',)
roger	('rogers',)
bcom	('bcom',)
degre	('degree', 'degrees')
mcmaster	('mcmaster',)
sutter	('sutter',)
hill	('hill',)
1989	('1989',)
sector	('sector',)
1987	('1987',)
mi	('mis',)
mattersight	('mattersight',)
corp	('corp',)
loyalti	('loyalty',)
ba	('ba',)
dartmouth	('dartmouth',)
colleg	('college',)
mba	('mba',)
harvard	('harvard',)
school	('school',)
method	('methods', 'method')
artisan	('artisan',)
recipi	('recipient', 'recipients')
macarthur	('macarthur',)
geniu	('genius',)
alan	('alan',)
t	('t',)
waterman	('waterman',)
presidenti	('presidential',)
career	('career', 'careers')
head	('heads', 'heading')
lab	('lab', 'labs')
intersect	('intersections',)
fluid	('fluid',)
civil	('civil',)
eugen	('eugene',)
teach	('teaching',)
bioengin	('bioengineering',)
bioinspir	('bioinspired',)
wind	('wind',)
faculti	('faculty',)
dean	('dean',)
student	('students', 'student')
dr	('dr',)
fellow	('fellow',)
divis	('division', 'divisions')
biden	('bidens',)
council	('council',)
advisor	('advisors', 'advisor')
pcast	('pcast',)
granholm	('granholms',)
seab	('seab',)
truste	('trustees', 'trustee')
gordon	('gordon',)
betti	('betty',)
academi	('academies', 'academy')
phd	('phd',)
ms	('ms',)
bse	('bse',)
summa	('summa',)
cum	('cum',)
laud	('laude',)
aerospac	('aerospace',)
princeton	('princeton',)
versatil	('versatile',)
proven	('proven',)
vice	('vice',)
slac	('slac',)
laboratori	('laboratory',)
2002	('2002',)
guggenheim	('guggenheim',)
fellowship	('fellowship',)
young	('young',)
investig	('investigator', 'investigation', 'investigations')
ab	('ab', 'abs')
mathemat	('mathematics',)
wellesley	('wellesley',)
accomplish	('accomplished',)
incept	('inception',)
semiconductor	('semiconductor', 'semiconductors')
highest	('highest',)
noyc	('noyce',)
ieee	('ieee',)
medal	('medal',)
morri	('morris',)
exemplari	('exemplary',)
honorari	('honorary',)
doctor	('doctorate',)
taiwan	('taiwans', 'taiwan')
chiao	('chiao',)
tung	('tung',)
oregon	('oregon',)
him	('him',)
best-perform	('best-performing',)
lifetim	('lifetime',)
businessperson	('businessperson',)
lsi	('lsi', 'lsis')
logic	('logic',)
micro	('micro',)
devic	('devices', 'device')
bsee	('bsee',)
msee	('msee',)
taken	('taken',)
compil	('compiled',)
sharp	('sharp',)
footbal	('football',)
leagu	('league',)
2009	('2009',)
parthenon	('parthenon',)
pepsi-cola	('pepsi-cola',)
north	('north',)
beverag	('beverage',)
canada	('canada',)
simultan	('simultaneously',)
foodservic	('foodservice',)
spent	('spent',)
agenc	('agencies', 'agency')
darci	('darcy',)
masiu	('masius',)
benton\xa0&	('benton\\xa0&',)
bowl	('bowles',)
omnicom	('omnicom',)
skincar	('skincare',)
f	('f',)
bistro	('bistro',)
restaur	('restaurant',)
allergan	('allergan',)
biopharmaceut	('biopharmaceutical',)
home	('home',)
2001	('2001',)
amplifi	('amplify', 'amplifying', 'amplifiers', 'amplified')
snack	('snack',)
food	('food',)
english	('english',)
longtim	('longtime',)
interpubl	('interpublic',)
mtg	('mtg', 'mtgs')
2004	('2004',)
entrepreneur	('entrepreneur',)
1981	('1981',)
daisi	('daisy',)
computer-aid	('computer-aided',)
ultim	('ultimately', 'ultimate')
synopsi	('synopsys',)
seven	('seven',)
tensilica	('tensilica',)
embed	('embedded', 'embedding')
cadenc	('cadence',)
tintri	('tintri',)
bs	('bs',)
georgetown	('georgetown',)
massachusett	('massachusetts',)
subsidiari	('subsidiary', 'subsidiaries')
estat	('estate',)
robertson	('robertson',)
francisco-bas	('francisco-based',)
1999	('1999',)
non-profit	('non-profits', 'non-profit')
kb	('kb',)
homebuild	('homebuilding',)
2003	('2003',)
woodrow	('woodrow',)
wilson	('wilson',)
affair	('affairs',)
honour	('honours',)
ma	('ma',)
merton	('merton',)
oxford	('oxford',)
england	('england',)
graduat	('graduate',)
array	('array',)
c3	('c3',)
extens	('extensive', 'extension')
trial	('trial',)
lawyer	('lawyer',)
kirkland	('kirkland',)
elli	('ellis',)
levi	('levi',)
strauss	('strauss',)
co	('co',)
jd	('jd', 'jds')
drawn	('drawn',)
throughout	('throughout',)
entrepreneur-in-	('entrepreneur-in-',)
resid	('residence', 'reside', 'residency', 'residents', 'resides')
rock	('rock',)
aerov	('aerovance',)
1994	('1994',)
gilead	('gilead',)
facil	('facilities', 'facility')
myokardia	('myokardia',)
davi	('davis',)
vari	('varied', 'vary', 'varying')
blood	('blood',)
therapeut	('therapeutics',)
crossov	('crossover',)
netdynam	('netdynamics',)
sun	('sun',)
microsystem	('microsystems',)
glu	('glu',)
mobil	('mobile', 'mobility')
informatica	('informatica',)
tableau	('tableau',)
athlet	('athletic',)
tenabl	('tenable',)
eargo	('eargo',)
22	('22',)
eli	('eli',)
lilli	('lilly', 'lillys')
statistician	('statistician',)
biometr	('biometrics',)
bio-medicin	('bio-medicines',)
northwestern	('northwestern',)
mutual	('mutual',)
nonprofit	('nonprofit',)
indiana	('indiana',)
india	('india',)
shrimad	('shrimad',)
rajchandra	('rajchandra',)
love	('love',)
usa	('usa',)
indianapoli	('indianapolis',)
interfaith	('interfaith',)
cooper	('cooperation',)
bachelor	('bachelors',)
master	('masters',)
statist	('statistics', 'statistically')
riversid	('riverside',)
health	('health',)
sequoia	('sequoia',)
preced	('preceding',)
staff	('staff',)
hugh	('hughes',)
aircraft	('aircraft',)
southern	('southern',)
quantenna	('quantenna',)
wi-fi	('wi-fi',)
high-	('high-',)
divestitur	('divestitures', 'divestiture')
1993-2006	('1993-2006',)
interfer	('interfere',)
exceed	('exceed', 'exceeded', 'exceeding')
entiti	('entitys', 'entity', 'entities')
consolid	('consolidated', 'consolidation', 'consolidations')
messr	('messrs',)
ensur	('ensures',)
voic	('voice',)
chairperson	('chairperson', 'chairpersons')
\xa0perri	('\\xa0perry',)
afford	('affords', 'afford')
primari	('primary',)
agenda	('agendas', 'agenda')
duti	('duties', 'duty')
interf	('interfering',)
regular	('regular',)
qualiti	('quality',)
quantiti	('quantity', 'quantities')
timeli	('timeliness',)
coordin	('coordinating', 'coordination')
moder	('moderating', 'moderate')
liaison	('liaison',)
sensit	('sensitive', 'sensitivity')
deleg	('delegates', 'delegated', 'delegate', 'delegation')
exposur	('exposures', 'exposure')
step	('steps',)
monitor	('monitor', 'monitors', 'monitoring')
anonym	('anonymous', 'anonymously')
tip	('tip',)
prevent	('preventing', 'prevents', 'prevent', 'preventative', 'prevented', 'prevention')
illeg	('illegal',)
improp	('improper',)
liability-cr	('liability-creating',)
artifici	('artificial',)
excess	('excessive', 'excess')
risk-tak	('risk-taking',)
adequaci	('adequacy',)
regularli	('regularly',)
met	('met',)
formal	('formal',)
absent	('absent',)
wherebi	('whereby',)
interview	('interviews', 'interview')
thing	('things', 'thing')
began	('began',)
orient	('orientation',)
administ	('administering', 'administers', 'administered', 'administer')
non-employe	('non-employee',)
salari	('salary',)
defer	('deferred', 'defer')
trust	('trust',)
immedi	('immediate', 'immediately')
unvest	('unvested',)
unexercis	('unexercised', 'unexercisable')
exce	('exceeds',)
hedg	('hedging', 'hedge', 'hedges', 'hedged')
pledg	('pledging', 'pledge')
designe	('designees',)
put	('puts', 'put', 'putative', 'putting')
deriv	('derivative', 'derived', 'derive', 'derivatives')
borrow	('borrow', 'borrowing')
collater	('collateral',)
loan	('loan',)
portfolio	('portfolio', 'portfolios')
diversif	('diversification',)
fund	('funds', 'fund')
interim	('interim',)
incapacit	('incapacitated',)
themselv	('themselves',)
ethic	('ethics', 'ethical')
honesti	('honesty',)
credibl	('credibility',)
reput	('reputation', 'reputational')
depend	('depend', 'depending', 'depends', 'dependent', 'dependency')
clear	('clear',)
waiver	('waiver',)
promptli	('promptly',)
hotlin	('hotline',)
contractor	('contractor', 'contractors')
lodg	('lodge',)
complaint	('complaint', 'complaints')
concern	('concern', 'concerns', 'concerning')
prohibit	('prohibited', 'prohibit', 'prohibitions')
local	('local', 'localization', 'localities')
privaci	('privacy',)
letter	('letters', 'letter')
seriou	('serious',)
uncontest	('uncontested',)
choic	('choice', 'choices')
affirm	('affirmative',)
incumb	('incumbent',)
non-contest	('non-contested',)
tender	('tender', 'tenders', 'tendered', 'tendering')
resign	('resignation',)
reject	('reject',)
rational	('rationale',)
behind	('behind',)
deem	('deemed', 'deem', 'deems')
withhold	('withhold', 'withholding')
plural	('plurality',)
presenc	('presence',)
explor	('explored', 'exploration', 'explore')
roadmap	('roadmap',)
assign	('assignments', 'assign', 'assigned', 'assignment', 'assigning')
rotat	('rotations', 'rotated', 'rotates')
usag	('usage',)
treasuri	('treasury',)
retent	('retention', 'retentive')
permiss	('permissible',)
non-audit	('non-audit',)
press	('press',)
substanc	('substance',)
analyst	('analysts',)
form\xa010-k	('form\\xa010-k',)
treatment	('treatment',)
well-b	('well-being',)
disclosur	('disclosure', 'disclosures')
recruit	('recruiting', 'recruit', 'recruitment', 'recruits')
violat	('violations', 'violate', 'violation', 'violated', 'violating')
29	('29',)
1a	('1a',)
lifecycl	('lifecycle', 'lifecycles')
expenditur	('expenditures', 'expenditure')
enough	('enough',)
match	('match', 'matches')
high-perform	('high-performance',)
inher	('inherently', 'inherent')
watt	('watt',)
absolut	('absolute',)
40x	('40x',)
evidenc	('evidenced', 'evidencing')
green500	('green500',)
novemb	('november',)
ultra-high-resolut	('ultra-high-resolution',)
urgenc	('urgency',)
473	('473',)
countri	('countries', 'country')
242	('242',)
231	('231',)
non-techn	('non-technical',)
differenti	('differentiated', 'differential')
hire	('hiring', 'hires', 'hired', 'hire')
affili	('affiliations', 'affiliates', 'affiliate', 'affiliated')
39%	('39%',)
referr	('referrals',)
on-the-job	('on-the-job',)
coach	('coaching',)
ongo	('ongoing',)
on-demand	('on-demand',)
workshop	('workshops',)
panel	('panel',)
speaker	('speaker',)
curat	('curate',)
constantli	('constantly',)
expos	('exposed', 'expose', 'exposes')
tuition	('tuition',)
subsid	('subsidize', 'subside')
development	('developmental',)
pursu	('pursuing', 'pursue')
mentor	('mentoring',)
women	('women',)
widespread	('widespread',)
puls	('pulse',)
survey	('surveys', 'survey')
box	('box',)
third-	('third-',)
priorit	('prioritize', 'prioritizing')
always-on	('always-on',)
thought	('thoughts', 'thought', 'thoughtful')
third-parti	('third-party',)
turnov	('turnover',)
reward	('rewards', 'reward')
unavail	('unavailable',)
comprehens	('comprehensive',)
401	('401',)
statutori	('statutory',)
pension	('pension',)
flexibl	('flexible', 'flexibility')
hour	('hours',)
mental	('mental',)
stress	('stress',)
time-manag	('time-management',)
tailor	('tailored',)
militari	('military',)
birth	('birth',)
parent	('parents', 'parent')
regardless	('regardless',)
veteran	('veteran',)
statu	('status',)
latino	('latino',)
deepen	('deepened',)
minority-serv	('minority-serving',)
peer	('peers', 'peer')
foster	('foster', 'fostering')
progress	('progress', 'progressive')
visibl	('visibility',)
19%	('19%',)
declar	('declared', 'declaration')
pandem	('pandemic', 'pandemics')
protocol	('protocols',)
keep	('keep',)
safe	('safe',)
distanc	('distancing',)
clearli	('clearly',)
adher	('adhering', 'adheres')
coverag	('coverage',)
including-covid-19	('including-covid-19',)
vaccin	('vaccine',)
remot	('remotely', 'remote')
company-wid	('company-wide',)
rest	('rest',)
recharg	('recharge',)
advocaci	('advocacy',)
policymak	('policymakers',)
incur	('incur', 'incurred', 'incurring')
advoc	('advocate',)
kind	('kind',)
money	('money',)
lobbyist	('lobbyists',)
broader	('broader',)
lobbi	('lobbying',)
feder	('federal',)
http	('https', 'http')
governance-docu	('governance-documents',)
exequ	('exequity', 'exequitys')
$340	('$340',)
median	('median',)
$85	('$85',)
$255	('$255',)
divid	('divided', 'divide')
30-calendar	('30-calendar',)
trail	('trailing',)
averag	('average', 'averaging')
suscept	('susceptible',)
volatil	('volatility', 'volatile')
correl	('correlate',)
wednesday	('wednesday',)
death	('death',)
beneficiari	('beneficiary', 'beneficiaries')
sooner	('sooner',)
409a	('409a',)
cessat	('cessation',)
assum	('assume', 'assumed', 'assumes', 'assuming')
82	('82',)
301	('301',)
381	('381',)
383	('383',)
881	('881',)
$75	('$75',)
shown	('shown',)
column	('column', 'columns')
note	('note', 'noted', 'notes')
$175	('$175',)
860	('860',)
808	('808',)
996	('996',)
032	('032',)
736	('736',)
232	('232',)
avoid	('avoid',)
conflict	('conflicts', 'conflicting', 'conflict')
appear	('appearance', 'appearing', 'appear', 'appears')
daughter	('daughter',)
$160	('$160',)
indemn	('indemnity', 'indemnities')
agreement	('agreements', 'agreement')
indemnifi	('indemnify',)
extent	('extent',)
therein	('therein',)
damag	('damages', 'damage', 'damaged')
fine	('fines',)
proceed	('proceedings', 'proceed')
fullest	('fullest',)
13g	('13g',)
503	('503',)
959	('959',)
006	('006',)
issuabl	('issuable',)
84	('84',)
421	('421',)
722	('722',)
87	('87',)
521	('521',)
colett	('colette',)
kress	('kress',)
447	('447',)
471	('471',)
ajay	('ajay',)
puri	('puri',)
314	('314',)
654	('654',)
debora	('debora',)
shoquist	('shoquist',)
283	('283',)
840	('840',)
170	('170',)
459	('459',)
140	('140',)
384	('384',)
664	('664',)
385	('385',)
524	('524',)
812	('812',)
672	('672',)
980	('980',)
41	('41',)
101	('101',)
148	('148',)
989	('989',)
444	('444',)
016	('016',)
008	('008',)
868	('868',)
257	('257',)
943	('943',)
258	('258',)
98	('98',)
105	('105',)
106	('106',)
880	('880',)
243	('243',)
985	('985',)
04%	('04%',)
vanguard	('vanguard',)
196	('196',)
015	('015',)
550	('550',)
83%	('83%',)
blackrock	('blackrock',)
177	('177',)
858	('858',)
484	('484',)
fmr	('fmr',)
158	('158',)
039	('039',)
922	('922',)
31%	('31%',)
\xa061	('\\xa061',)
347	('347',)
714	('714',)
lori	('lori',)
co-truste	('co-trustees', 'co-trustee')
d	('d',)
may\xa01	('may\\xa01',)
\xa04	('\\xa04',)
948	('948',)
956	('956',)
j	('j',)
228	('228',)
irrevoc	('irrevocable',)
wife	('wife',)
050	('050',)
annuiti	('annuity',)
lynn	('lynn',)
remaind	('remainder',)
virtu	('virtue',)
referenc	('referenced',)
dispos	('dispose', 'disposes', 'disposed')
disposit	('disposition', 'dispositive', 'dispositions')
son	('son',)
133	('133',)
revoc	('revocable',)
dtd	('dtd',)
children	('childrens',)
06	('06',)
\xa0puri	('\\xa0puri',)
pecuniari	('pecuniary',)
210	('210',)
120	('120',)
149	('149',)
horn	('horne',)
685	('685',)
248	('248',)
retir	('retirement', 'retired')
\xa0cox	('\\xa0coxe',)
697	('697',)
136	('136',)
contractu	('contractual',)
866	('866',)
h	('h',)
\xa0jon	('\\xa0jones',)
984	('984',)
07	('07',)
900	('900',)
rhyu	('rhyu',)
05	('05',)
160	('160',)
perry\xa0&	('perry\\xa0&',)
pena	('pena',)
rosemary\xa0&	('rosemary\\xa0&',)
\xa0seawel	('\\xa0seawell',)
988	('988',)
343	('343',)
3rd	('3rd',)
millennium	('millennium',)
\xa0steven	('\\xa0stevens',)
640	('640',)
envi	('envy',)
february\xa09	('february\\xa09',)
february\xa010	('february\\xa010',)
december\xa031	('december\\xa031',)
185	('185',)
753	('753',)
501	('501',)
boulevard	('boulevard',)
malvern	('malvern',)
pennsylvania	('pennsylvania',)
19355	('19355',)
153	('153',)
411	('411',)
587	('587',)
east	('east',)
52nd	('52nd',)
10055	('10055',)
245	('245',)
summer	('summer',)
boston	('boston',)
02210	('02210',)
section\xa0	('section\\xa0',)
14a	('14a',)
commonli	('commonly',)
narr	('narrative',)
bind	('binding',)
accordingli	('accordingly',)
r	('r',)
esolv	('esolved',)
item\xa0402	('item\\xa0402',)
s-k	('s-k',)
herebi	('hereby',)
evp	('evp',)
datacent	('datacenter',)
year-over-year	('year-over-year',)
96%	('96%',)
fourth	('fourth',)
consecut	('consecutive',)
one-of-a-kind	('one-of-a-kind',)
emphas	('emphasize', 'emphasized')
simpl	('simple',)
dont	('dont',)
distinct	('distinct',)
minim	('minimize', 'minimal')
meaning	('meaningful', 'meaningfully')
clawback	('clawback',)
x	('x',)
automat	('automatic', 'automatically')
change-in-	('change-in-',)
supplement	('supplemental', 'supplements')
perquisit	('perquisites',)
gross-up	('gross-ups',)
repric	('reprice', 'repricing')
unearn	('unearned',)
cycl	('cycle', 'cycles')
nov	('nov',)
dec	('dec',)
mar	('mar',)
apr	('apr',)
certifi	('certified', 'certifies', 'certify')
gather	('gathered',)
radford	('radford',)
advic	('advice',)
iii	('iii',)
v	('v',)
roughli	('roughly',)
5-3	('5-3',)
cisco	('cisco',)
intuit	('intuit',)
qualcomm	('qualcomm',)
tesla	('tesla',)
ibm	('ibm',)
